Date,Open,High,Low,Close,Volume
07-01-00,1403.449951,1441.469971,1400.72998,1441.469971,1225200000
14-01-00,1449.680054,1473,1449.680054,1465.150024,1085900000
24-01-00,1441.359985,1454.089966,1395.420044,1401.530029,1115800000
31-01-00,1360.160034,1394.47998,1350.140015,1394.459961,993800000
07-02-00,1424.369995,1427.150024,1413.329956,1424.23999,918100000
14-02-00,1387.119995,1394.930054,1380.530029,1389.939941,927300000
22-02-00,1346.089966,1358.109985,1331.880005,1352.170044,980000000
29-02-00,1348.050049,1369.630005,1348.050049,1366.420044,1204300000
07-03-00,1391.280029,1399.209961,1349.98999,1355.619995,1314100000
14-03-00,1383.619995,1395.150024,1359.150024,1359.150024,1094000000
21-03-00,1456.630005,1493.920044,1446.060059,1493.869995,1065900000
28-03-00,1523.859985,1527.359985,1507.089966,1507.72998,959100000
04-04-00,1505.97998,1526.449951,1416.410034,1494.72998,1515460000
11-04-00,1504.459961,1512.800049,1486.780029,1500.589966,971400000
18-04-00,1401.439941,1441.609985,1397.810059,1441.609985,1109400000
26-04-00,1477.439941,1482.939941,1456.97998,1460.98999,999600000
03-05-00,1446.290039,1446.290039,1398.359985,1415.099976,991600000
10-05-00,1412.140015,1412.140015,1375.140015,1383.050049,1006400000
17-05-00,1466.040039,1466.040039,1441.670044,1447.800049,820500000
24-05-00,1373.859985,1401.75,1361.089966,1399.050049,1152300000
01-06-00,1420.599976,1448.810059,1420.599976,1448.810059,960100000
08-06-00,1471.359985,1475.650024,1456.48999,1461.670044,854300000
15-06-00,1470.540039,1482.040039,1464.619995,1478.72998,1011400000
22-06-00,1479.130005,1479.130005,1448.030029,1452.180054,1022700000
29-06-00,1454.819946,1455.140015,1434.630005,1442.390015,1110900000
07-07-00,1456.670044,1484.119995,1456.670044,1478.900024,931700000
14-07-00,1495.839966,1509.98999,1494.560059,1509.97998,960600000
21-07-00,1495.569946,1495.569946,1477.910034,1480.189941,968300000
28-07-00,1449.619995,1456.680054,1413.890015,1419.890015,980000000
04-08-00,1452.560059,1462.930054,1451.310059,1462.930054,956000000
11-08-00,1460.25,1475.719971,1453.060059,1471.839966,835500000
18-08-00,1496.069946,1499.469971,1488.98999,1491.719971,821400000
25-08-00,1508.310059,1513.469971,1505.089966,1506.449951,685600000
01-09-00,1517.680054,1530.089966,1515.530029,1520.77002,767700000
11-09-00,1494.5,1506.76001,1483.01001,1489.26001,899300000
18-09-00,1465.810059,1467.77002,1441.920044,1444.51001,962500000
25-09-00,1448.719971,1457.420044,1435.930054,1439.030029,982400000
02-10-00,1436.52002,1445.599976,1429.829956,1436.22998,1051200000
09-10-00,1408.98999,1409.689941,1392.47998,1402.030029,716600000
16-10-00,1374.170044,1379.47998,1365.060059,1374.619995,1005400000
23-10-00,1396.930054,1406.959961,1387.75,1395.780029,1046800000
30-10-00,1379.579956,1406.359985,1376.859985,1398.660034,1186500000
06-11-00,1428.76001,1438.459961,1427.719971,1432.189941,930900000
13-11-00,1365.97998,1365.97998,1328.619995,1351.26001,1129300000
20-11-00,1367.719971,1367.719971,1341.670044,1342.619995,955800000
28-11-00,1348.969971,1358.810059,1334.969971,1336.089966,1028200000
05-12-00,1324.969971,1376.560059,1324.969971,1376.540039,900300000
12-12-00,1380.199951,1380.27002,1370.27002,1371.180054,1083400000
19-12-00,1322.959961,1346.439941,1305.199951,1305.599976,1324900000
27-12-00,1315.189941,1332.030029,1310.959961,1328.920044,1092700000
04-01-01,1347.560059,1350.23999,1329.140015,1333.339966,2131000000
11-01-01,1313.27002,1332.189941,1309.719971,1326.819946,1411200000
19-01-01,1347.969971,1354.550049,1336.73999,1342.540039,1407800000
26-01-01,1357.51001,1357.51001,1342.75,1354.949951,1098000000
02-02-01,1373.469971,1376.380005,1348.719971,1349.469971,1048400000
09-02-01,1332.530029,1332.530029,1309.97998,1314.76001,1075500000
16-02-01,1326.609985,1326.609985,1293.180054,1301.530029,1257200000
26-02-01,1245.859985,1267.689941,1241.709961,1267.650024,1130800000
05-03-01,1234.180054,1242.550049,1234.040039,1241.410034,929200000
12-03-01,1233.420044,1233.420044,1176.780029,1180.160034,1229000000
19-03-01,1150.530029,1173.5,1147.180054,1170.810059,1126200000
26-03-01,1139.829956,1160.02002,1139.829956,1152.689941,1114000000
02-04-01,1160.329956,1169.51001,1137.51001,1145.869995,1254900000
09-04-01,1128.430054,1146.130005,1126.380005,1137.589966,1062800000
17-04-01,1179.680054,1192.25,1168.900024,1191.810059,1109600000
24-04-01,1224.359985,1233.540039,1208.890015,1209.469971,1216500000
01-05-01,1249.459961,1266.469971,1243.550049,1266.439941,1181300000
08-05-01,1266.709961,1267.01001,1253,1261.199951,1006300000
15-05-01,1248.920044,1257.449951,1245.359985,1249.439941,1071800000
22-05-01,1312.829956,1315.930054,1306.890015,1309.380005,1260400000
30-05-01,1267.930054,1267.930054,1245.959961,1248.079956,1158600000
06-06-01,1283.569946,1283.849976,1269.01001,1270.030029,1061900000
13-06-01,1255.849976,1259.75,1241.589966,1241.599976,1063600000
20-06-01,1212.579956,1225.609985,1210.069946,1223.140015,1350100000
27-06-01,1216.76001,1219.920044,1207.290039,1211.069946,1162100000
05-07-01,1234.449951,1234.449951,1219.150024,1219.23999,934900000
12-07-01,1180.180054,1210.25,1180.180054,1208.140015,1394000000
19-07-01,1207.709961,1225.040039,1205.800049,1215.02002,1343500000
26-07-01,1190.48999,1204.180054,1182.650024,1202.930054,1213900000
02-08-01,1215.930054,1226.27002,1215.310059,1220.75,1218300000
09-08-01,1183.530029,1184.709961,1174.680054,1183.430054,1104200000
16-08-01,1178.02002,1181.800049,1166.079956,1181.660034,1055400000
23-08-01,1165.310059,1169.859985,1160.959961,1162.089966,986200000
30-08-01,1148.599976,1151.75,1124.869995,1129.030029,1157000000
07-09-01,1106.400024,1106.400024,1082.119995,1085.780029,1424300000
20-09-01,1016.099976,1016.099976,984.48999,984.539978,2004800000
27-09-01,1007.039978,1018.919983,998.23999,1018.609985,1467000000
04-10-01,1072.280029,1084.119995,1067.819946,1069.630005,1609100000
11-10-01,1080.98999,1099.160034,1080.98999,1097.430054,1704580000
18-10-01,1077.089966,1077.939941,1064.540039,1068.609985,1262900000
25-10-01,1085.199951,1100.089966,1065.640015,1100.089966,1364400000
01-11-01,1059.780029,1085.609985,1054.310059,1084.099976,1317400000
08-11-01,1115.800049,1135.75,1115.420044,1118.540039,1517500000
15-11-01,1141.209961,1146.459961,1135.060059,1142.23999,1454500000
23-11-01,1137.030029,1151.050049,1135.900024,1150.339966,410300000
30-11-01,1140.199951,1143.569946,1135.890015,1139.449951,1343600000
07-12-01,1167.099976,1167.099976,1152.660034,1158.310059,1248200000
14-12-01,1119.380005,1128.280029,1114.530029,1123.089966,1306800000
21-12-01,1139.930054,1147.459961,1139.930054,1144.890015,1694000000
31-12-01,1161.02002,1161.160034,1148.040039,1148.079956,943600000
08-01-02,1164.890015,1167.599976,1157.459961,1160.709961,1258800000
15-01-02,1138.410034,1148.810059,1136.880005,1146.189941,1386900000
23-01-02,1119.310059,1131.939941,1117.430054,1128.180054,1479200000
30-01-02,1100.640015,1113.790039,1081.660034,1113.569946,2019600000
06-02-02,1090.02002,1093.579956,1077.780029,1083.51001,1665800000
13-02-02,1107.5,1120.560059,1107.5,1118.51001,1215900000
21-02-02,1097.97998,1101.5,1080.23999,1080.949951,1381600000
28-02-02,1109.890015,1121.569946,1106.72998,1106.72998,1392200000
07-03-02,1162.77002,1167.939941,1150.689941,1157.540039,1517400000
14-03-02,1154.089966,1157.829956,1151.079956,1153.040039,1208800000
21-03-02,1151.849976,1155.099976,1139.47998,1153.589966,1339200000
28-03-02,1144.579956,1154.449951,1144.579956,1147.390015,1147600000
05-04-02,1126.339966,1133.310059,1119.48999,1122.72998,1110200000
12-04-02,1103.689941,1112.77002,1102.73999,1111.01001,1282100000
19-04-02,1124.469971,1128.819946,1122.589966,1125.170044,1185000000
26-04-02,1091.47998,1096.77002,1076.310059,1076.319946,1374200000
03-05-02,1084.560059,1084.560059,1068.890015,1073.430054,1284500000
10-05-02,1073.01001,1075.430054,1053.930054,1054.98999,1171900000
17-05-02,1098.22998,1106.589966,1096.77002,1106.589966,1274400000
24-05-02,1097.079956,1097.079956,1082.189941,1083.819946,885400000
03-06-02,1067.140015,1070.73999,1039.900024,1040.680054,1324300000
10-06-02,1027.530029,1038.180054,1025.449951,1030.73999,1226200000
17-06-02,1007.27002,1036.170044,1007.27002,1036.170044,1236600000
24-06-02,989.140015,1002.109985,970.849976,992.719971,1552600000
01-07-02,989.820007,994.460022,967.429993,968.650024,1425500000
09-07-02,976.97998,979.630005,951.710022,952.830017,1348900000
16-07-02,917.929993,918.650024,897.130005,900.940002,1843700000
23-07-02,819.849976,827.690002,796.130005,797.700012,2441020000
30-07-02,898.960022,909.809998,884.700012,902.780029,1826090000
06-08-02,834.599976,874.440002,834.599976,859.570007,1514100000
13-08-02,903.799988,911.710022,883.619995,884.210022,1297700000
20-08-02,950.700012,950.700012,931.859985,937.429993,1308500000
27-08-02,947.950012,955.820007,930.359985,934.820007,1307700000
04-09-02,878.02002,896.099976,875.72998,893.400024,1372100000
11-09-02,910.630005,924.02002,908.469971,909.450012,846600000
18-09-02,873.52002,878.450012,857.390015,869.460022,1501000000
25-09-02,819.27002,844.219971,818.460022,839.659973,1651500000
02-10-02,843.77002,851.929993,826.5,827.909973,1668900000
09-10-02,798.549988,798.549988,775.799988,776.76001,1885030000
16-10-02,881.27002,881.27002,856.280029,860.02002,1585000000
23-10-02,890.159973,896.140015,873.820007,896.140015,1593900000
30-10-02,882.150024,895.280029,879.190002,890.710022,1422300000
06-11-02,915.390015,925.659973,905,923.76001,1674000000
13-11-02,882.950012,892.51001,872.049988,882.530029,1463400000
20-11-02,896.73999,915.01001,894.929993,914.150024,1517300000
27-11-02,913.309998,940.409973,913.309998,938.869995,1350300000
05-12-02,917.580017,921.48999,905.900024,906.549988,1250200000
12-12-02,904.960022,908.369995,897,901.580017,1255300000
19-12-02,890.02002,899.190002,880.320007,884.25,1385900000
27-12-02,889.659973,890.460022,873.619995,875.400024,758400000
06-01-03,908.590027,931.77002,908.590027,929.01001,1435900000
13-01-03,927.570007,935.049988,922.049988,926.26001,1396300000
